vertex ID,cs,positions,phenotype_id
31,ENSG00000115756.grp_1.contained.ENST00000307845_L1_ROSMAP.brain_naive_txrev,"[10421921, 10422358, 10423107, 10424402, 10424748, 10424964, 10425452]",ENSG00000115756
32,ENSG00000123992.grp_2.contained.ENST00000490371_L1_GTEx.adipose_subcutaneous_txrev,"[219386078, 219390693, 219404120]",ENSG00000123992
33,ENSG00000077044.grp_1.contained.ENST00000474488_L1_BLUEPRINT_SE.monocyte_txrev,"[233445599, 233450491, 233458787]",ENSG00000077044
34,ENSG00000152291.grp_2.contained.ENST00000409232_L1_GTEx.testis_txrev,"[85321516, 85322745]",ENSG00000152291
35,ENSG00000168395.grp_2.contained.ENST00000493578_L1_GTEx.thyroid_txrev,"[241701549, 241701572, 241705436, 241726757, 241728478]",ENSG00000168395
36,ENSG00000082438.grp_1.contained.ENST00000489955_L1_BrainSeq.brain_txrev,"[164684290, 164689105, 164694691, 164695843, 164697792, 164699029, 164701700, 164701702, 164701705]",ENSG00000082438
37,ENSG00000115084.grp_1.contained.ENST00000498768_L1_Alasoo_2018.macrophage_Salmonella_txrev,"[113698709, 113699785, 113701157, 113713769, 113726208, 113726517, 113730828, 113732649]",ENSG00000115084
38,ENSG00000115756.grp_2.contained.ENST00000307845_L1_GTEx.brain_cerebellar_hemisphere_txrev,[10408700],ENSG00000115756
39,ENSG00000124006.grp_1.contained.ENST00000462385_L1_GTEx.spleen_txrev,"[219562625, 219562706]",ENSG00000124006
40,ENSG00000067066.grp_1.contained.ENST00000413284_L1_GTEx.artery_aorta_txrev,"[230461906, 230464005, 230467564]",ENSG00000067066
41,ENSG00000171853.grp_2.contained.ENST00000417243_L1_GTEx.vagina_txrev,"[3465931, 3471628, 3471727, 3472333, 3472906, 3474083, 3474681, 3476792, 3480414, 3480762]",ENSG00000171853
42,ENSG00000136682.grp_1.contained.ENST00000479583_L1_GTEx.LCL_txrev,"[113422197, 113466549, 113483735]",ENSG00000136682
43,ENSG00000180902.grp_1.contained.ENST00000470343_L1_Quach_2016.monocyte_naive_txrev,"[241816853, 241820738]",ENSG00000180902
44,ENSG00000049323.grp_1.contained.ENST00000418533_L1_HipSci.iPSC_txrev,"[33343046, 33343286]",ENSG00000049323
45,ENSG00000151353.grp_1.contained.ENST00000497508_L1_TwinsUK.LCL_txrev,"[671939, 674963, 676177]",ENSG00000151353
46,ENSG00000183091.grp_2.contained.ENST00000397337_L1_BLUEPRINT_SE.monocyte_txrev,"[151736146, 151740957, 151746914, 151908643, 151924861, 151971367, 152005562, 152276336, 152371446, 152402186]",ENSG00000183091
47,ENSG00000144115.grp_2.contained.ENST00000496844_L1_GTEx.adipose_subcutaneous_txrev,[88187909],ENSG00000144115
48,ENSG00000124380.grp_1.contained.ENST00000244227_L1_GTEx.blood_txrev,"[69904531, 69904659, 69906278, 69906932, 69914387, 69920532, 69920961, 69926716]",ENSG00000124380
49,ENSG00000115274.grp_1.contained.ENST00000409493_L1_GTEx.heart_atrial_appendage_txrev,"[74371872, 74460131, 74492783, 74498051, 74513834, 74518953, 74528651, 74529049, 74538566]",ENSG00000115274
50,ENSG00000035115.grp_2.contained.ENST00000403712_L1_BLUEPRINT_SE.monocyte_txrev,[242793],ENSG00000035115
51,ENSG00000204792.grp_1.contained.ENST00000418204_L1_GTEx.testis_txrev,[74958729],ENSG00000204792
52,ENSG00000124006.grp_2.contained.ENST00000596474_L2_GTEx.artery_tibial_txrev,"[219554617, 219554947, 219554987, 219555215, 219556234]",ENSG00000124006
53,ENSG00000115073.grp_1.contained.ENST00000289228_L1_Alasoo_2018.macrophage_naive_txrev,"[96929666, 97003208, 97045684, 97080789, 97113750, 97139294, 97646864, 97658891]",ENSG00000115073
54,ENSG00000163126.grp_2.contained.ENST00000318357_L1_FUSION.muscle_naive_txrev,"[96823917, 96838010]",ENSG00000163126
55,ENSG00000114956.grp_2.contained.ENST00000264093_L1_GTEx.thyroid_txrev,[73938926],ENSG00000114956
56,ENSG00000152292.grp_2.contained.ENST00000488657_L1_ROSMAP.brain_naive_txrev,[85433003],ENSG00000152292
57,ENSG00000067066.grp_1.contained.ENST00000470940_L1_FUSION.adipose_naive_txrev,"[230460918, 230460919, 230460920, 230460921, 230460922]",ENSG00000067066
58,ENSG00000171853.grp_2.contained.ENST00000324266_L1_GTEx.fibroblast_txrev,"[3472526, 3477760, 3479942, 3480101, 3481432]",ENSG00000171853
59,ENSG00000143933.grp_2.contained.ENST00000272298_L1_ROSMAP.brain_naive_txrev,"[47151716, 47152200, 47152205, 47152206, 47154106, 47158705, 47161626, 47174125, 47174925]",ENSG00000143933
60,ENSG00000115648.grp_2.contained.ENST00000468178_L1_FUSION.adipose_naive_txrev,[237545563],ENSG00000115648
61,ENSG00000171853.grp_1.contained.ENST00000469400_L2_GTEx.heart_left_ventricle_txrev,"[3472526, 3477760]",ENSG00000171853
62,ENSG00000082438.grp_1.contained.ENST00000489955_L1_GTEx.thyroid_txrev,"[164684290, 164689105, 164692059, 164694691, 164695843, 164699029, 164701700, 164701705]",ENSG00000082438
63,ENSG00000136682.grp_1.contained.ENST00000479583_L1_Schmiedel_2018.CD4_T-cell_anti-CD3-CD28_txrev,"[113425864, 113458385, 113465504, 113466549]",ENSG00000136682
64,ENSG00000119147.grp_1.contained.ENST00000409944_L1_GTEx.adipose_visceral_txrev,"[106071000, 106073280]",ENSG00000119147
65,ENSG00000171853.grp_1.contained.ENST00000441099_L1_BrainSeq.brain_txrev,"[3458753, 3459626, 3463403]",ENSG00000171853
66,ENSG00000035115.grp_2.contained.ENST00000460974_L1_BLUEPRINT_SE.monocyte_txrev,[242793],ENSG00000035115
67,ENSG00000115825.grp_1.contained.ENST00000464552_L1_Quach_2016.monocyte_LPS_txrev,[37292936],ENSG00000115825
68,ENSG00000123607.grp_2.contained.ENST00000392695_L1_ROSMAP.brain_naive_txrev,"[165837976, 165852558, 165857585, 165860674]",ENSG00000123607
69,ENSG00000171853.grp_1.contained.ENST00000497597_L3_GTEx.testis_txrev,"[3925605, 3925665]",ENSG00000171853
70,ENSG00000169604.grp_1.contained.ENST00000303714_L1_GTEx.fibroblast_txrev,[69103152],ENSG00000169604
71,ENSG00000135919.grp_2.contained.ENST00000473202_L1_Quach_2016.monocyte_naive_txrev,"[224086849, 224089484]",ENSG00000135919
72,ENSG00000124006.grp_2.contained.ENST00000462385_L1_GTEx.stomach_txrev,[219562706],ENSG00000124006
73,ENSG00000124006.grp_2.contained.ENST00000373876_L2_GTEx.heart_atrial_appendage_txrev,[219519830],ENSG00000124006
74,ENSG00000115073.grp_2.contained.ENST00000460427_L1_GTEx.thyroid_txrev,"[97003208, 97045684, 97080789, 97113750, 97643142, 97658891]",ENSG00000115073
75,ENSG00000151689.grp_2.contained.ENST00000470892_L1_BrainSeq.brain_txrev,[190366777],ENSG00000151689
76,ENSG00000143933.grp_1.contained.ENST00000460218_L1_ROSMAP.brain_naive_txrev,"[47151716, 47152200, 47152205, 47152206, 47154106, 47158705, 47161626, 47174125, 47174925]",ENSG00000143933
77,ENSG00000079308.grp_1.contained.ENST00000611415_L1_GTEx.colon_sigmoid_txrev,"[217829430, 217829469, 217829573, 217829634]",ENSG00000079308
78,ENSG00000151353.grp_2.contained.ENST00000281017_L1_GTEx.brain_cerebellar_hemisphere_txrev,"[671939, 674963, 676177]",ENSG00000151353
79,ENSG00000152253.grp_2.contained.ENST00000472216_L1_TwinsUK.fat_txrev,"[168854097, 168864871, 168882029, 168887282, 168888041]",ENSG00000152253
80,ENSG00000168894.grp_2.contained.ENST00000456023_L1_GTEx.heart_left_ventricle_txrev,"[85600891, 85619962, 85626340, 85627353, 85633105, 85646921, 85649101]",ENSG00000168894
81,ENSG00000119147.grp_1.contained.ENST00000409944_L1_GTEx.nerve_tibial_txrev,[106073280],ENSG00000119147
82,ENSG00000115274.grp_1.contained.ENST00000494986_L1_van_de_Bunt_2015.pancreatic_islet_txrev,"[74439635, 74439939]",ENSG00000115274
83,ENSG00000143727.grp_2.contained.ENST00000484125_L1_GTEx.skin_not_sun_exposed_txrev,"[256414, 272051]",ENSG00000143727
84,ENSG00000124006.grp_1.contained.ENST00000404537_L1_GTEx.stomach_txrev,[219562706],ENSG00000124006
85,ENSG00000118263.grp_1.contained.ENST00000467833_L1_BrainSeq.brain_txrev,[207082569],ENSG00000118263
86,ENSG00000144283.grp_1.contained.ENST00000480171_L1_ROSMAP.brain_naive_txrev,"[158557115, 158666965, 158691233]",ENSG00000144283
87,ENSG00000072163.grp_1.contained.ENST00000469300_L1_GTEx.adipose_subcutaneous_txrev,[127641734],ENSG00000072163
88,ENSG00000119147.grp_2.contained.ENST00000479337_L1_GTEx.esophagus_mucosa_txrev,"[106071000, 106073280]",ENSG00000119147
89,ENSG00000188542.grp_2.contained.ENST00000479788_L1_FUSION.muscle_naive_txrev,"[240530102, 240530207, 240562449]",ENSG00000188542
90,ENSG00000237940.grp_1.contained.ENST00000426962_L2_GTEx.uterus_txrev,"[241090772, 241526111, 241846820, 241849811, 241850596]",ENSG00000237940
91,ENSG00000144579.grp_1.contained.ENST00000491064_L1_GTEx.thyroid_txrev,[218401700],ENSG00000144579
92,ENSG00000162882.grp_2.contained.ENST00000402268_L1_GTEx.artery_aorta_txrev,"[42785196, 42793754, 42797402, 42799384]",ENSG00000162882
93,ENSG00000124006.grp_2.contained.ENST00000462385_L1_GTEx.brain_spinal_cord_txrev,"[219562625, 219562706]",ENSG00000124006
94,ENSG00000118640.grp_1.contained.ENST00000409760_L2_Nedelec_2016.macrophage_naive_txrev,"[85538814, 85541554]",ENSG00000118640
95,ENSG00000119185.grp_2.contained.ENST00000464228_L1_BrainSeq.brain_txrev,"[9408522, 9410317, 9412250, 9413460, 9414151]",ENSG00000119185
96,ENSG00000169604.grp_2.contained.ENST00000303714_L1_GTEx.esophagus_mucosa_txrev,[69103152],ENSG00000169604
97,ENSG00000118004.grp_1.contained.ENST00000382062_L1_HipSci.iPSC_txrev,"[3577209, 3580793]",ENSG00000118004
98,ENSG00000124006.grp_2.contained.ENST00000489804_L1_GTEx.brain_caudate_txrev,"[219543916, 219544979, 219546059, 219548412, 219549297, 219550873, 219550924, 219550995, 219552544]",ENSG00000124006
99,ENSG00000057935.grp_2.contained.ENST00000482875_L1_GTEx.colon_sigmoid_txrev,"[41807942, 41811110, 41815651, 41857240]",ENSG00000057935
100,ENSG00000072163.grp_2.contained.ENST00000324938_L1_GTEx.artery_tibial_txrev,[127648067],ENSG00000072163
101,ENSG00000123992.grp_1.contained.ENST00000490371_L1_GTEx.skin_not_sun_exposed_txrev,"[219375492, 219376957, 219386078, 219391349, 219404120, 219422076]",ENSG00000123992
102,ENSG00000138448.grp_1.contained.ENST00000496477_L1_Quach_2016.monocyte_naive_txrev,"[186655603, 186665389, 186667646, 186670544, 186693781, 186696093, 186704276, 186711651, 186723925, 186724673]",ENSG00000138448
103,ENSG00000187627.grp_2.contained.ENST00000409776_L2_GTEx.testis_txrev,"[86853302, 86884767, 86929823, 87046126, 87123445, 87138834]",ENSG00000187627
104,ENSG00000183281.grp_2.contained.ENST00000467745_L1_GTEx.breast_txrev,"[86899541, 86920194, 86925768, 86943945, 87033525, 87048371, 87049688]",ENSG00000183281
105,ENSG00000115457.grp_1.contained.ENST00000434997_L1_Nedelec_2016.macrophage_naive_txrev,[216619506],ENSG00000115457
106,ENSG00000115594.grp_1.contained.ENST00000452403_L1_BLUEPRINT_SE.neutrophil_txrev,"[102147500, 102148149, 102152913, 102155395, 102156209, 102158695, 102158704]",ENSG00000115594
107,ENSG00000183281.grp_2.contained.ENST00000467745_L2_GENCORD.LCL_txrev,"[86427754, 86434976, 86542127, 86549353, 86573202, 86602382, 86668196]",ENSG00000183281
108,ENSG00000180902.grp_1.contained.ENST00000463932_L1_GTEx.colon_transverse_txrev,"[241758583, 241760637, 241761545]",ENSG00000180902
109,ENSG00000144028.grp_1.contained.ENST00000323853_L1_GTEx.esophagus_mucosa_txrev,"[96267615, 96356796, 96361965, 96383461]",ENSG00000144028
110,ENSG00000068024.grp_1.contained.ENST00000496347_L1_GTEx.esophagus_muscularis_txrev,"[239166779, 239178920, 239180017, 239180631]",ENSG00000068024
111,ENSG00000144115.grp_2.contained.ENST00000475910_L1_GTEx.fibroblast_txrev,[88170344],ENSG00000144115
112,ENSG00000072163.grp_2.contained.ENST00000324938_L2_FUSION.adipose_naive_txrev,[127649600],ENSG00000072163
113,ENSG00000163328.grp_1.contained.ENST00000392551_L1_FUSION.muscle_naive_txrev,"[174482922, 174483219, 174487330, 174488653, 174489170]",ENSG00000163328
114,ENSG00000119185.grp_2.contained.ENST00000464228_L1_GTEx.adipose_subcutaneous_txrev,"[9410317, 9411584, 9412250, 9413460, 9414151, 9426749, 9428316, 9432799]",ENSG00000119185
115,ENSG00000035115.grp_2.contained.ENST00000454318_L1_BLUEPRINT_PE.T-cell_txrev,[242793],ENSG00000035115
116,ENSG00000237940.grp_1.contained.ENST00000429456_L1_GTEx.pituitary_txrev,[241971499],ENSG00000237940
117,ENSG00000151353.grp_2.contained.ENST00000281017_L1_GTEx.pancreas_txrev,[674963],ENSG00000151353
118,ENSG00000171863.grp_1.contained.ENST00000481006_L1_Lepik_2017.blood_txrev,"[3549847, 3573262, 3577209, 3580793]",ENSG00000171863
119,ENSG00000197713.grp_2.contained.ENST00000436630_L1_GEUVADIS.LCL_txrev,"[210001635, 210013393, 210016169, 210035925, 210077175]",ENSG00000197713
120,ENSG00000162882.grp_1.contained.ENST00000404451_L1_GTEx.artery_tibial_txrev,"[42770474, 42772307]",ENSG00000162882
121,ENSG00000170802.grp_2.contained.ENST00000340553_L1_Schmiedel_2018.monocyte_naive_txrev,"[48081707, 48149982, 48327816, 48346756, 48406397]",ENSG00000170802
122,ENSG00000035115.grp_2.contained.ENST00000460974_L1_GTEx.fibroblast_txrev,[242793],ENSG00000035115
123,ENSG00000134324.grp_1.contained.ENST00000475286_L1_GTEx.pituitary_txrev,[11784824],ENSG00000134324
124,ENSG00000144362.grp_2.contained.ENST00000616524_L1_GTEx.prostate_txrev,"[169471246, 169694622]",ENSG00000144362
125,ENSG00000183281.grp_2.contained.ENST00000467745_L1_TwinsUK.LCL_txrev,[86931945],ENSG00000183281
126,ENSG00000152291.grp_2.contained.ENST00000409232_L1_GTEx.skin_not_sun_exposed_txrev,"[85321516, 85322745]",ENSG00000152291
127,ENSG00000277701.grp_2.contained.ENST00000621110_L1_BrainSeq.brain_txrev,"[97212458, 97219026, 97224179, 97230239]",ENSG00000277701
128,ENSG00000124380.grp_2.contained.ENST00000244227_L1_GTEx.heart_atrial_appendage_txrev,"[69904531, 69904659, 69906278, 69906932, 69914387, 69920532, 69920961, 69926716]",ENSG00000124380
129,ENSG00000183281.grp_2.contained.ENST00000409801_L1_GTEx.testis_txrev,"[86899541, 86920194, 86925768, 86943945, 87033525, 87049688, 87050079, 87075937, 87079442, 87084123]",ENSG00000183281
130,ENSG00000072163.grp_2.contained.ENST00000469300_L1_TwinsUK.fat_txrev,"[127638101, 127641317, 127641734]",ENSG00000072163
131,ENSG00000189350.grp_2.contained.ENST00000460951_L1_BrainSeq.brain_txrev,"[28953801, 28957070, 28957257]",ENSG00000189350
132,ENSG00000163466.grp_1.contained.ENST00000465395_L1_Quach_2016.monocyte_Pam3CSK4_txrev,"[218217396, 218223449, 218233050, 218237609, 218238857, 218240727, 218244641, 218245998, 218248233]",ENSG00000163466
133,ENSG00000151353.grp_1.contained.ENST00000497508_L1_GTEx.skin_sun_exposed_txrev,[959702],ENSG00000151353
134,ENSG00000123992.grp_2.contained.ENST00000457935_L1_GTEx.skin_sun_exposed_txrev,"[219134104, 219385510]",ENSG00000123992
135,ENSG00000144579.grp_1.contained.ENST00000494067_L1_GTEx.blood_txrev,[218401700],ENSG00000144579
136,ENSG00000138382.grp_1.contained.ENST00000537825_L1_ROSMAP.brain_naive_txrev,"[169800626, 169801600, 169823538]",ENSG00000138382
137,ENSG00000118960.grp_2.contained.ENST00000304031_L1_Quach_2016.monocyte_LPS_txrev,[20638558],ENSG00000118960
138,ENSG00000144362.grp_2.contained.ENST00000616524_L1_GTEx.colon_sigmoid_txrev,[169694622],ENSG00000144362
139,ENSG00000124831.grp_1.contained.ENST00000498053_L1_Quach_2016.monocyte_naive_txrev,"[237717047, 237719024, 237720842, 237723008]",ENSG00000124831
140,ENSG00000124006.grp_1.contained.ENST00000462385_L1_GTEx.minor_salivary_gland_txrev,"[219562625, 219562706]",ENSG00000124006
141,ENSG00000162878.grp_1.contained.ENST00000492861_L1_TwinsUK.fat_txrev,"[42055689, 42058435]",ENSG00000162878
142,ENSG00000125637.grp_1.contained.ENST00000418251_L1_GTEx.pancreas_txrev,"[113183104, 113184482, 113185326, 113185893]",ENSG00000125637
143,ENSG00000152689.grp_2.contained.ENST00000468856_L3_GEUVADIS.LCL_txrev,"[33527085, 33533388, 33539512, 33543280]",ENSG00000152689
144,ENSG00000151689.grp_1.contained.ENST00000487628_L1_GTEx.brain_hippocampus_txrev,"[190230078, 190259507, 190304632, 190387104, 190490527, 190540324, 190697570, 190860216]",ENSG00000151689
145,ENSG00000035115.grp_2.contained.ENST00000403712_L2_Schmiedel_2018.CD4_T-cell_naive_txrev,[367565],ENSG00000035115
146,ENSG00000152689.grp_2.contained.ENST00000477927_L1_TwinsUK.LCL_txrev,"[33517217, 33518738, 33530930, 33531341, 33535209, 33539650, 33539888, 33545661, 33546340]",ENSG00000152689
147,ENSG00000144231.grp_1.contained.ENST00000409955_L1_GEUVADIS.LCL_txrev,"[127842816, 127844192, 127846114, 127852447, 127853074, 127853173, 127859443]",ENSG00000144231
148,ENSG00000068024.grp_2.contained.ENST00000493582_L1_GTEx.skin_sun_exposed_txrev,"[239093078, 239094088, 239094707, 239097116, 239098926, 239101379]",ENSG00000068024
149,ENSG00000169604.grp_1.contained.ENST00000303714_L1_GTEx.skin_sun_exposed_txrev,[69102986],ENSG00000169604
150,ENSG00000115687.grp_2.contained.ENST00000493544_L1_BrainSeq.brain_txrev,"[241136873, 241137552, 241137933, 241138919, 241139688, 241144457, 241145940]",ENSG00000115687
151,ENSG00000072182.grp_2.contained.ENST00000347842_L1_GTEx.pituitary_txrev,"[219238440, 219335966]",ENSG00000072182
152,ENSG00000124380.grp_1.contained.ENST00000450162_L2_GTEx.brain_anterior_cingulate_cortex_txrev,"[70357442, 70426485, 70521201, 70723842, 70728059, 70794827]",ENSG00000124380
153,ENSG00000151689.grp_1.contained.ENST00000322522_L1_FUSION.adipose_naive_txrev,"[190349741, 190351383, 190352531, 190354389, 190354888, 190355612, 190360026, 190360783, 190366777]",ENSG00000151689
154,ENSG00000188674.grp_1.contained.ENST00000341287_L1_GTEx.brain_amygdala_txrev,[208168414],ENSG00000188674
155,ENSG00000124006.grp_1.contained.ENST00000404537_L1_GTEx.brain_cortex_txrev,[219562706],ENSG00000124006
156,ENSG00000115750.grp_1.contained.ENST00000497182_L1_TwinsUK.LCL_txrev,"[9827491, 9843557, 9845541, 9901155]",ENSG00000115750
157,ENSG00000162882.grp_1.contained.ENST00000406007_L1_Alasoo_2018.macrophage_IFNg_txrev,"[42770474, 42772307, 42787979, 42788046, 42788564]",ENSG00000162882
158,ENSG00000124380.grp_2.contained.ENST00000450162_L1_GTEx.breast_txrev,"[69904531, 69904659, 69906278, 69906932, 69914387]",ENSG00000124380
159,ENSG00000068912.grp_1.contained.ENST00000185150_L1_ROSMAP.brain_naive_txrev,"[53821802, 53826735]",ENSG00000068912
160,ENSG00000151665.grp_2.contained.ENST00000482786_L1_Lepik_2017.blood_txrev,"[46550507, 46555050, 46578769, 46581104, 46591853]",ENSG00000151665
161,ENSG00000240344.grp_2.contained.ENST00000497263_L1_ROSMAP.brain_naive_txrev,"[200877622, 200889340]",ENSG00000240344
162,ENSG00000124006.grp_1.contained.ENST00000404537_L1_GTEx.breast_txrev,[219562706],ENSG00000124006
163,ENSG00000115750.grp_1.contained.ENST00000416181_L1_ROSMAP.brain_naive_txrev,"[9842155, 9845477, 9846033]",ENSG00000115750
164,ENSG00000188542.grp_1.contained.ENST00000479788_L2_FUSION.muscle_naive_txrev,"[240562012, 240650209, 240718921, 240723883, 240737242, 240751104]",ENSG00000188542
165,ENSG00000171853.grp_2.contained.ENST00000433382_L1_GTEx.testis_txrev,"[3466344, 3466415, 3466483, 3466763, 3467375, 3469899, 3469956]",ENSG00000171853
166,ENSG00000163466.grp_1.contained.ENST00000465395_L1_GTEx.brain_caudate_txrev,"[218217396, 218223449, 218233050, 218237609, 218238857, 218244641, 218245998, 218248233, 218252759]",ENSG00000163466
167,ENSG00000072163.grp_1.contained.ENST00000409286_L1_TwinsUK.fat_txrev,"[127628675, 127632003, 127633013, 127638101, 127641317, 127641734]",ENSG00000072163
168,ENSG00000163466.grp_1.contained.ENST00000465395_L1_GTEx.lung_txrev,"[218217396, 218237609, 218238857, 218240727, 218244641, 218245998, 218248233, 218252759]",ENSG00000163466
169,ENSG00000072163.grp_1.contained.ENST00000469300_L1_GTEx.artery_aorta_txrev,"[127641317, 127641734]",ENSG00000072163
170,ENSG00000115084.grp_1.contained.ENST00000469702_L1_GTEx.fibroblast_txrev,"[113726208, 113726517, 113730828, 113732649]",ENSG00000115084
171,ENSG00000115232.grp_1.contained.ENST00000465522_L1_Schmiedel_2018.Th1-17_memory_txrev,"[181484139, 181486585, 181487053]",ENSG00000115232
172,ENSG00000115457.grp_1.contained.ENST00000490362_L1_GTEx.blood_txrev,"[216619501, 216619506]",ENSG00000115457
173,ENSG00000152527.grp_1.contained.ENST00000405000_L1_GTEx.breast_txrev,"[43709223, 43710361, 43711619, 43714392]",ENSG00000152527
174,ENSG00000198130.grp_1.contained.ENST00000414928_L1_FUSION.muscle_naive_txrev,[190632657],ENSG00000198130
175,ENSG00000228784.grp_2.contained.ENST00000449086_L1_GTEx.blood_txrev,[19877892],ENSG00000228784
176,ENSG00000189223.grp_1.contained.ENST00000613966_L1_Lepik_2017.blood_txrev,[113238217],ENSG00000189223
177,ENSG00000151665.grp_2.contained.ENST00000281382_L1_GTEx.breast_txrev,"[46578947, 46581104]",ENSG00000151665
178,ENSG00000018280.grp_2.contained.ENST00000354352_L1_Quach_2016.monocyte_Pam3CSK4_txrev,"[218384603, 218385477]",ENSG00000018280
179,ENSG00000144028.grp_1.contained.ENST00000480615_L1_GEUVADIS.LCL_txrev,"[96247794, 96267615, 96284617]",ENSG00000144028
180,ENSG00000124380.grp_2.contained.ENST00000244227_L1_GTEx.colon_transverse_txrev,"[69904531, 69904659, 69906278, 69906932, 69914387, 69920532, 69920961, 69926716]",ENSG00000124380
181,ENSG00000143933.grp_2.contained.ENST00000460218_L1_Lepik_2017.blood_txrev,"[47150333, 47179025]",ENSG00000143933
182,ENSG00000054219.grp_2.contained.ENST00000492955_L1_GTEx.LCL_txrev,"[159901969, 159902657, 159904288, 159904571, 159923021]",ENSG00000054219
183,ENSG00000124006.grp_2.contained.ENST00000462385_L1_GTEx.brain_cortex_txrev,[219562706],ENSG00000124006
